98	13	10	49	95	35	57	20	82	31
9	35	96	82	14	25	81	66	41	28
40	7	54	58	28	84	98	86	39	46
43	23	94	48	40	20	95	70	14	64
12	35	18	22	15	67	37	49	23	6
90	15	70	35	65	62	25	34	73	59
69	12	37	73	20	15	83	36	86	26
51	79	51	33	54	25	7	19	83	35
65	35	74	79	87	77	36	51	42	61
75	52	62	62	42	8	52	6	50	28
6	36	83	56	40	64	10	34	52	77
81	29	33	72	54	25	34	44	11	50
68	10	63	11	16	57	86	31	50	90
18	83	92	63	14	38	75	75	27	21
94	38	32	18	34	48	66	96	72	56
19	49	7	45	19	71	77	47	20	15
67	39	74	78	62	50	18	33	7	98
9	88	71	78	64	71	40	59	36	14
85	77	78	55	69	47	90	91	25	87
26	67	28	74	70	42	15	64	20	75
70	26	61	43	18	47	66	20	44	22
16	82	23	98	13	28	21	37	98	80
6	21	16	93	56	45	31	92	82	41
9	98	95	23	14	23	60	87	74	17
82	36	48	66	63	73	7	53	94	19
72	67	31	74	92	6	52	22	18	9
61	46	81	76	43	19	12	49	73	30
54	72	13	59	96	35	84	26	6	78
25	57	57	51	34	25	40	21	34	33
12	44	88	24	12	64	23	28	37	19
34	37	59	71	23	54	52	30	11	36
38	24	6	70	67	50	96	12	42	90
76	10	64	39	68	70	79	86	78	16
14	38	23	12	42	92	77	71	61	12
82	50	29	39	73	97	52	16	66	34
22	92	58	15	34	83	41	44	41	59
30	18	24	91	64	40	94	44	6	26
25	53	73	67	7	10	36	45	84	63
76	40	70	69	70	55	29	55	54	89
89	89	94	60	96	76	46	38	95	30
68	62	94	82	59	46	86	48	57	16
67	36	88	84	19	27	6	75	8	19
16	29	55	87	77	92	96	71	79	91
30	40	67	10	46	39	52	46	48	22
14	33	70	12	49	46	51	9	8	66
40	22	26	51	40	62	64	39	98	38
8	62	51	17	43	11	13	36	24	11
9	43	20	67	93	21	89	59	82	6
33	36	14	42	24	33	13	18	46	79
90	36	13	42	56	20	25	66	39	60
40	23	89	66	26	45	95	89	18	76
72	78	94	9	48	91	19	47	34	17
20	80	47	54	88	21	51	24	80	7
82	53	62	93	29	33	13	72	94	62
62	76	61	44	51	8	11	29	43	72
46	81	20	73	18	34	72	35	90	8
65	39	98	53	68	56	53	77	33	46
76	27	59	70	89	60	54	48	6	55
76	14	71	94	33	6	22	14	28	51
54	92	72	97	83	46	33	76	44	43
75	91	36	68	84	26	26	48	95	29
66	82	89	86	83	9	90	7	19	61
74	47	14	61	88	48	89	6	86	21
17	39	81	75	65	93	89	34	75	22
62	26	81	21	91	47	57	46	38	15
52	89	69	95	62	17	62	67	91	25
56	68	96	45	42	94	69	64	27	29
90	62	72	21	21	30	7	61	92	35
53	93	37	10	62	98	94	76	79	83
56	38	42	84	8	33	38	35	90	7
95	86	51	39	30	63	53	21	92	30
16	24	18	26	59	28	86	91	17	44
41	54	23	46	41	41	20	7	90	50
49	50	41	56	46	85	31	58	71	59
36	73	92	72	8	51	63	21	46	94
62	79	52	10	32	81	77	63	96	38
86	94	11	11	15	25	44	96	49	68
71	6	62	7	88	64	76	27	62	73
34	19	70	80	94	70	50	93	92	38
25	53	52	55	21	21	73	10	73	75
12	44	91	76	26	74	17	6	92	32
16	26	35	11	19	45	22	16	74	21
17	44	54	78	41	18	69	97	86	54
93	29	31	31	78	15	74	51	73	86
68	93	61	17	88	64	39	97	11	24
55	91	81	14	29	13	33	11	20	29
71	31	67	52	78	85	91	95	44	16
95	63	23	33	26	73	31	16	23	83
82	7	15	8	55	75	76	93	31	48
15	86	31	51	39	36	11	27	68	85
51	87	40	60	41	86	96	67	67	38
84	21	37	9	17	62	35	21	20	98
76	79	54	88	61	25	71	16	10	43
64	48	10	96	75	93	83	17	12	67
50	78	95	20	15	27	10	40	43	90
79	36	39	42	67	89	78	93	37	81
85	73	89	22	86	46	53	13	10	44
69	17	17	50	37	37	57	24	84	19
96	55	18	39	10	54	89	9	40	98
81	36	26	16	92	74	32	57	18	97
